techAnalysis.pivots	https://api.matriksdata.com/dumrul/v1/tech-analysis/pivots	get	symbol|index|period	gz=False
techAnalysis.indPos	https://api.matriksdata.com/dumrul/v1/tech-analysis/ind-pos	get	symbol|index	gz=False
fundamentalsExpectedDates.expectedDates	https://apiank.matriksdata.com/dumrul/v1/fundamentals-expected-dates	get	symbol|period	gz=False
fundamentalsExpectedDates.deadlines	https://apiank.matriksdata.com/dumrul/v1/fundamentals-expected-dates/deadlines	get	period	gz=False
fundamentals.periods	https://apiank.matriksdata.com/dumrul/v1/fundamentals/periods	get	symbol|unadjusted	gz=False
fundamentals.declarationDates	https://apiank.matriksdata.com/dumrul/v1/fundamentals/declaration-dates	get	symbol|period|start|end|last	gz=False
fundamentals.BS	https://apiank.matriksdata.com/dumrul/v1/fundamentals/BS	get	symbols|periods|currency|lang|unadjusted	gz=False
fundamentals.CF	https://apiank.matriksdata.com/dumrul/v1/fundamentals/CF	get	symbols|periods|currency|lang|unadjusted	gz=False
fundamentals.INC	https://apiank.matriksdata.com/dumrul/v1/fundamentals/INC	get	symbols|periods|currency|lang|unadjusted	gz=False
fundamentals.BS_CSV	https://apiank.matriksdata.com/dumrul/v1/fundamentals/BS.csv	get	symbols|periods|currency|lang|unadjusted	gz=False
fundamentals.CF_CSV	https://apiank.matriksdata.com/dumrul/v1/fundamentals/CF.csv	get	symbols|periods|currency|lang|unadjusted	gz=False
fundamentals.INC_CSV	https://apiank.matriksdata.com/dumrul/v1/fundamentals/INC.csv	get	symbols|periods|currency|lang|unadjusted	gz=False
underlyingClassification	https://apiank.matriksdata.com/dumrul/v2/underlying-classification	get		gz=False
indexWeight	https://apiank.matriksdata.com/dumrul/v1/index-weight	get	symbol|index	gz=False
sectoralBrief	https://apiank.matriksdata.com/dumrul/v1/sectoral-brief	get		gz=False
openInterestDist	https://apiank.matriksdata.com/dumrul/v1/open-interest-dist	get		gz=False
fundamentalIndicators	https://apiank.matriksdata.com/dumrul/v1/fundamentals-indicators	get	symbols	gz=False
primeEvent	https://apiank.matriksdata.com/dumrul/v1/prime-event	get	symbol|count|agent|typeId	gz=False
agentTrades.daily	https://apiank.matriksdata.com/dumrul/v1/agenttrades/daily	get	agent|timestamp	gz=True
agentTrades.historic	https://apiank.matriksdata.com/dumrul/v1/agenttrades/historic	get	agent|date	gz=True
inflationRates	https://apiank.matriksdata.com/dumrul/v1/inflation-rates	get		gz=False
agentAssetsIndicators	https://apiank.matriksdata.com/dumrul/v1/agent-assets-indicators	get	symbols|agents	gz=False
trendingVolume	https://apiank.matriksdata.com/dumrul/v1/trending-volume	get	top|period	gz=False
currencyPosition	https://apiank.matriksdata.com/dumrul/v1/currency-position	get	symbols	gz=False
listOfFundamentals	https://apiank.matriksdata.com/dumrul/v1/list-of-fundamentals	get		gz=False
optionWarrantTree.optionMeta	https://apiank.matriksdata.com/dumrul/v1/warrant-and-option-tree/options/meta	get	symbol|index	gz=False
optionWarrantTree.warrantMeta	https://apiank.matriksdata.com/dumrul/v1/warrant-and-option-tree/warrants/meta	get	symbol|index	gz=False
optionWarrantTree.options	https://apiank.matriksdata.com/dumrul/v1/warrant-and-option-tree/options	get	underlying|maturity	gz=False
optionWarrantTree.warrants	https://apiank.matriksdata.com/dumrul/v1/warrant-and-option-tree/warrants	get	underlying|maturity|issuer	gz=False
gainersLine	https://apiank.matriksdata.com/dumrul/v1/gainers-line	get	start|end	gz=False
snapshotMarketReal	https://apiank.matriksdata.com/dumrul/v1/snapshot-market-real	get	symbols	gz=False
snapshotMarketDelayed	https://apiank.matriksdata.com/dumrul/v1/snapshot-market-delayed	get	symbols|exchangeId|symbolType|marketCode	gz=False
brokerTradingVolumeSummaryV2	https://apiank.matriksdata.com/dumrul/v2/broker-trading-volume-summary	get	start|end|type	gz=False
